created_at,unit_index,hour_of_day,day_of_week,adset_name,adset_impressions,adset_impressions_diff,adset_settings_total_budget,adset_settings_daily_budget,adset_settings_maximum_daily_impressions,adset_settings_maximum_lifetime_impressions,adset_settings_runtime_in_hours,adset_settings_remaining_hours,adset_settings_running_hours,adset_targetings_total_population,adset_settings_maximum_cpm,adset_targetings_frequency_capping_requests,adset_settings_bidding_strategy,adset_settings_pacing_type
2024-07-16 14:04:55.597,1,14,Tuesday,AdBundle,314571.0,4109.0,272250,19446,72128.0,1009800.0,336,223,112,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 15:04:57.574,1,15,Tuesday,AdBundle,319200.0,4629.0,272250,19446,72128.0,1009800.0,336,222,113,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 15:04:57.574,0,15,Tuesday,Billboard,86018.0,1642.0,295120,21080,18068.0,252960.0,336,222,113,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 16:07:31.807,0,16,Tuesday,Billboard,87541.0,1523.0,295120,21080,18068.0,252960.0,336,221,114,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 16:07:31.807,1,16,Tuesday,AdBundle,324127.0,4927.0,272250,19446,72128.0,1009800.0,336,221,114,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 17:04:46.577,1,17,Tuesday,AdBundle,329224.0,5097.0,272250,19446,72128.0,1009800.0,336,220,115,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 17:04:46.577,0,17,Tuesday,Billboard,88951.0,1410.0,295120,21080,18068.0,252960.0,336,220,115,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 18:04:51.282,0,18,Tuesday,Billboard,90049.0,1098.0,295120,21080,18068.0,252960.0,336,219,116,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 18:04:51.282,1,18,Tuesday,AdBundle,334392.0,5168.0,272250,19446,72128.0,1009800.0,336,219,116,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 19:05:01.510,0,19,Tuesday,Billboard,90452.0,403.0,295120,21080,18068.0,252960.0,336,218,117,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 19:05:01.510,1,19,Tuesday,AdBundle,339657.0,5265.0,272250,19446,72128.0,1009800.0,336,218,117,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 20:04:58.840,1,20,Tuesday,AdBundle,344630.0,4973.0,272250,19446,72128.0,1009800.0,336,217,118,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 20:04:58.840,0,20,Tuesday,Billboard,90452.0,0.0,295120,21080,18068.0,252960.0,336,217,118,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 21:04:58.311,0,21,Tuesday,Billboard,90452.0,0.0,295120,21080,18068.0,252960.0,336,216,119,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 21:04:58.311,1,21,Tuesday,AdBundle,349322.0,4692.0,272250,19446,72128.0,1009800.0,336,216,119,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 22:04:59.519,0,22,Tuesday,Billboard,90452.0,0.0,295120,21080,18068.0,252960.0,336,215,120,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 22:04:59.519,1,22,Tuesday,AdBundle,353520.0,4198.0,272250,19446,72128.0,1009800.0,336,215,120,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 23:04:54.121,0,23,Tuesday,Billboard,90457.0,5.0,295120,21080,18068.0,252960.0,336,214,121,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 23:04:54.121,1,23,Tuesday,AdBundle,356920.0,3400.0,272250,19446,72128.0,1009800.0,336,214,121,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 00:07:04.253,0,0,Wednesday,Billboard,90457.0,0.0,295120,21080,18068.0,252960.0,336,213,122,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 00:07:04.253,1,0,Wednesday,AdBundle,359432.0,2512.0,272250,19446,72128.0,1009800.0,336,213,122,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 01:05:05.285,1,1,Wednesday,AdBundle,359842.0,410.0,272250,19446,72128.0,1009800.0,336,212,123,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 01:05:05.285,0,1,Wednesday,Billboard,90458.0,1.0,295120,21080,18068.0,252960.0,336,212,123,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 02:04:52.502,0,2,Wednesday,Billboard,90728.0,270.0,295120,21080,18068.0,252960.0,336,211,124,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 02:04:52.502,1,2,Wednesday,AdBundle,360694.0,852.0,272250,19446,72128.0,1009800.0,336,211,124,1439387.0,275,10.0,IntervalBudgetOptimized,Off
